intentId,intent,keyword
2d69c632-50f7-41e9-96cc-21832a58f623,"vâng","vâng; cám ơn; nha; cảm ơn; thôi; ko; có; gì; bạn; ơi; ok; bye; nhé; pp; nhiều; hỗ trợ; rất; kịp thời; vì; đã; ad; tốt; lắm; thông tin; hữu ích; tận tình; hẹn; gặp; lại; tạm biệt; thanks; thank; chào; tôi; hỏi; xong; mình; biết; rồi; you; good; được; hiểu; dc; xin; chân thành; cám ơn nhìu; dạ; ạ"
56cb0f14-fdbd-4612-a6a1-1d805ed54415,"đối tượng tham gia bhxh tự nguyện","tự nguyện; bhxh; tham gia"
23f4b15c-4ba9-43a5-a3eb-4c48032f0ed9,"cho tôi hỏi những đối tượng nào khi tham gia bhxh tự nguyện thì được nhà nước hỗ trợ tiền đóng","nhà nước; hỗ trợ; đóng; bhxh; tự nguyện; đối tượng"
2e600233-c6e8-4660-9c43-9c2b44e7f12d,"cho tôi hỏi tôi đi làm ký hợp đồng lao động 01 tháng thì tôi có được tham gia bhxh tự nguyện không","hợp đồng; 01 tháng; tham gia; bhxh; tự nguyện"
bcc74eb9-c4ad-4d93-8b94-fd1c83efef95,"người dân không làm việc tại các cơ quan tổ chức có được tham gia bhxh tự nguyện không","không; làm việc; cơ quan; tổ chức; tham gia; bhxh; tự nguyện"
4a53ecc3-6192-4de9-9f3e-a1fa0d0be742,"công ty tôi có một số nhân viên xin nghỉ không hưởng lương thì có được đóng bhxh không","nghỉ; không; lương; tham gia; bhxh"
ecb3dbc0-6aa1-475f-95b1-a109917f1e38,"tôi đang tham gia bhxh tự nguyện nay tôi ký hợp đồng lao động ở một công ty và công ty đóng bhxh bắt buộc cho tôi vậy tôi muốn đóng nối tiếp vào thời gian đã tham gia bhxh tự nguyện được không","bhxh; tự nguyện; bắt buộc; nối tiếp"
d94f6b9c-3026-4c10-b854-ed013ba6c00d,"tôi là nữ năm nay 55 tuổi đủ tuổi về hưu nhưng tham gia bhxh bắt buộc được 18 năm muốn tham gia bhxh tự nguyện thêm 2 năm nữa để đủ 20 năm hưởng chế độ hưu trí có được không","bhxh; tự nguyện; bắt buộc; hưu"
a3bcc2f0-f529-46e8-8f4f-a224b369f260,"hiện tại tôi đã đóng bhxh bắt buộc được 15 năm và vẫn đang đóng bhxh. nhưng tôi muốn đóng thêm bhxh tự nguyện nữa có được không","bhxh; tự nguyện; bắt buộc"
5d946070-75d2-4435-88cb-c13e9c65262b,"công ty tôi làm việc trả lương cho tôi theo hình thức lương khoán không đóng bhxh. tôi muốn tự đóng bhxh có được không","công ty; lao động; lương khoán"
f7fef536-3527-4237-af9b-7d435832f30a,"tôi ký hợp đồng lao động dưới 01 tháng với công ty thì có thuộc đối tượng tham gia bhxh tư nguyện không","hợp đồng; dưới; 01 tháng; bhxh; tự nguyện"
c3d335de-8bc1-4667-aae5-f3c50b9783da,"tôi hoạt động không chuyên trách ở thôn ấp bản sóc làng tổ dân phố khu khu phố có thuộc đối tượng tham gia bhxh tự nguyện không","không; chuyên trách; bhxh; tự nguyện"
420886cd-3b00-4c89-978b-de0793c9bab9,"tôi là người giúp việc gia đình có thuộc đối tượng tham gia bhxh tự nguyện không","giúp việc; bhxh; tự nguyện"
6c60c82d-268c-48a7-bc91-e6ad109f18c8,"tôi là xã viên hợp tác xã không hưởng tiền lương có thuộc đối tượng tham gia bhxh tự nguyện không","bhxh; tự nguyện; xã viên; hợp tác xã; không; lương"
1d478746-7fc1-46a6-b85f-4ab34a754494,"tôi là nông dân có thuộc đối tượng tham gia bhxh tự nguyện không","nông dân; bhxh; tự nguyện"
4492b8c7-3647-4af1-a9d0-24723f39016c,"tôi là nam năm nay đủ 60 tuổi nhưng chưa đủ 20 năm đóng bhxh thì có thuộc đối tượng tham gia bhxh tự nguyện không","nam; đủ; 60 tuổi; bhxh; tự nguyện"
10941e86-0724-4c1f-bc63-0a4ecf62d448,"tôi là nữ năm nay đủ 55 tuổi chưa đủ 20 năm đóng bhxh thì có được tham gia bhxh tự nguyện không","nữ; 55 tuổi; bhxh; tự nguyện"
dcfe6537-d2bb-4249-b721-163da4fe3db2,"tôi tham gia bhxh tự nguyện theo phương thức đóng 12 tháng một lần thì có được ngân sách nhà nước hỗ trợ không","bhxh; tự nguyện; đóng; 12 tháng; một lần; ngân sách; nhà nước; hỗ trợ"
f98a1919-aa47-4d30-99aa-aa4dd3dc76a5,"tôi đóng bhxh tự nguyện thì có được ngân sách nhà nước hỗ trợ không","bhxh; tự nguyện; đóng; ngân sách; nhà nước; hỗ trợ"
de26582c-73e0-4f14-b058-0085281f6332,"khi nào thì tôi được ngân sách nhà nước hỗ trợ đóng bhxh tự nguyện","bhxh; tự nguyện; ngân sách; nhà nước; hỗ trợ"
96b37304-6334-468e-99e6-c1895675a357,"cho tôi hỏi mức đóng bhxh tự nguyện là bao nhiêu","mức; đóng; bhxh; tự nguyện"
5408c0a6-e1af-4834-8bcd-430e9b563c61,"cho tôi hỏi trong trường hợp nào thì tôi được thay đổi mức thu nhập tháng làm căn cứ đóng bhxh tự nguyện","bhxh; tự nguyện; thay đổi; đóng"
b005d76c-8b71-4180-8671-7b7cf49a88e9,"cho tôi hỏi thời gian hỗ trợ tham gia bhxh tự nguyện là bao lâu","bhxh; tự nguyện; hỗ trợ; bao lâu"
56b072a8-21cd-48c0-ae9c-c724719a2845,"cho tôi hỏi mức hỗ trợ tiền đóng cuả nhà nước khi tôi tham gia bhxh tự nguyện là bao nhiêu","bhxh; tự nguyện; nhà nước; hỗ trợ; bao nhiêu"
bf8a8206-cc2e-43fe-a7d0-e223ed3cdad4,"cho tôi hỏi tôi thuộc hộ nghèo thì khi tham gia bhxh tự nguyện thì tôi được nhà nước hỗ trợ đóng bao nhiêu","bhxh; tự nguyện; nhà nước; hỗ trợ; hộ; nghèo"
64b44200-64d9-46e6-83ad-773448c2bfcb,"cho tôi hỏi tôi thuộc hộ cận nghèo thì khi tham gia bhxh tự nguyện thì tôi được nhà nước hỗ trợ đóng bao nhiêu","bhxh; tự nguyện; nhà nước; hỗ trợ; hộ; cận nghèo"
20f55b5f-65d1-4383-a28f-aae71d0bbd43,"cho tôi hỏi phương thức đóng bhxh tự nguyện","bhxh; tự nguyện; phương thức; đóng"
823d1cb7-8810-4533-bcd7-bd3eeaaa1f10,"cho tôi hỏi khi nào thì được thay đổi phương thức đóng bhxh tự nguyện","bhxh; tự nguyện; thay đổi; phương thức; đóng"
13638565-0e07-431a-b32a-e05b29829765,"khi mức chuẩn hộ nghèo khu vực nông thôn được thay đổi thì tôi có phải đóng hay được hoàn tiền mức chênh lệch số tiền bhxh tự nguyện đã đóng trước đó hay không","bhxh; tự nguyện; chuẩn; hộ; nghèo; nông thôn; chênh lệch; đóng"
0af0cbdb-7fb9-4673-ad31-1dc71f8a3d16,"trong những trường hợp nào thì tôi được hoàn trả môt phần số tiền đã đóng bhxh tự nguyện trước đó","hoàn trả; bhxh; tự nguyện"
0e91dcbc-ce14-4939-877e-5c36c807e98c,"cho tôi hỏi thời điểm đóng bhxh tự nguyện là khi nào","bhxh; tự nguyện; thời điểm; đóng"
bc636ddf-b00d-473d-94b4-e67f991ea26f,"tôi đã đủ tuổi nghỉ hưu nhưng đóng bhxh chưa đủ 10 năm tôi muốn đóng tiếp bhxh tư nguyện để hưởng lương hưu thì phải đóng như thế nào","hưu; bhxh; tự nguyện"
b18933c4-85aa-4dec-b6b9-82191286c858,"tôi là nam giới năm nay 56 tuổi có tổng thời gian tham gia bhxh là 15 năm vậy tôi có đủ điều kiện để đóng bhxh tự nguyện 1 lần để nghỉ hưu không","nam; bhxh; tự nguyện; hưu"
2c2915f7-dbdd-49c1-a787-8cbe524d0959,"tôi muốn tham gia bảo hiểm xã hội tự nguyện","bhxh; tự nguyện; tham gia"
39c7a65f-7fdb-480d-97cf-6ef8ef9cfeff,"tôi muốn hỏi thủ tục tham gia bhxh tự nguyện","thủ tục; tham gia; bhxh; tự nguyện"
7105a021-3248-45f7-832a-4d8fd14e5dfb,"tôi muốn hỏi tôi đăng ký tham gia bhxh tự nguyện ở đâu","bhxh; tự nguyện; tham gia; ở đâu"
e7665d44-2337-47be-969a-66ca9c425f65,"tôi muốn hỏi mức đóng bhxh tự nguyện","bhxh; tự nguyện; mức; đóng"
e3e66af1-4095-408a-b12d-99453f190bef,"tôi muốn thay đổi phương thức đóng bhxh tự nguyện thì phải làm như thế nào","thay đổi; đóng; bhxh; tự nguyện"
471a7717-d069-4c39-9383-a108161ff5a5,"tôi đã tham gia bhxh tự nguyện nay tôi tạm dừng đóng thì thời gian tôi đã đóng trước đây có bị mất không","bhxh; tự nguyện; dừng; mất"
a62dde25-65ce-48d5-9a76-43df89f9fc76,"tôi đã tham gia bhxh bắt buộc được 18 năm muốn tham gia bhxh tự nguyện thêm 02 năm nữa cho đủ 20 năm để hưởng chế độ hưu trí có được không","bhxh; bắt buộc; tự nguyện; hưu"
48579eda-15a1-49e6-b2e7-c5ee47686a1d,"tôi đang tham gia bhxh bắt buộc tại công ty nay tôi muốn đóng thêm bhxh tự nguyện được không","bhxh; bắt buộc; tự nguyện"
72d95861-f9e2-4bcc-8cea-9a0817116d26,"trong thời gian hưởng bảo hiểm thất nghiệp tôi muốn tham gia bhxh tự nguyện có được không","hưởng; bảo hiểm thất nghiệp; bhxh; tự nguyện"
c2e923da-c13e-425c-82d2-1e91a1aa02e2,"tôi đang làm tại doanh nghiệp thì có phải tham gia bhxh bắt buộc không","doanh nghiệp; tham gia; bhxh; bắt buộc"
16ca8f9f-7d60-4b3e-a91d-eafe22a9115a,"tôi là cán bộ không chuyên trách ở xã có phải tham gia bhxh bắt buộc không","cán bộ; không; chuyên trách; tham gia; bhxh; bắt buộc"
928c5370-3717-4742-be5d-5af530bf6dda,"tôi là người quản lý doanh nghiệp thì có phải tham gia bhxh bắt buộc không","quản lý; doanh nghiệp; tham gia; bhxh; bắt buộc"
0b600c65-f371-4446-bdfd-a83111e952a4,"tôi đang quản lý điều hành hợp tác xã có phải tham gia bhxh bắt buộc không","chủ nhiệm; hợp tác xã; tham gia; bhxh; bắt buộc"
04e4f376-1f5e-4edd-a40b-c5b76ea07ff3,"tôi đang tham gia bhxh bắt buộc được cử đi học ở nước ngoài thì có phải tham gia bhxh bắt buộc không","học; nước ngoài; tham gia; bhxh; bắt buộc"
2fe862a9-6608-49ed-aaa5-cf3cdc6f2a1f,"tôi đang hưởng lương hưu nhưng ký hợp đồng lao động với doanh nghiệp thì có phải tham gia bhxh bắt buộc không","hưởng; lương hưu; tham gia; bhxh; bắt buộc"
8ed8d74b-35be-4287-b0d1-a92f98bfa2c0,"tôi đang hưởng trợ cấp bhxh nhưng ký hợp đồng lao động với doanh nghiệp thì có phải tham gia bhxh bắt buộc không","hưởng; trợ cấp; bhxh; hợp đồng; doanh nghiệp"
6f2d5c24-9246-4efd-9abc-8f5882e64ac1,"tôi đang hưởng trợ cấp hàng tháng nhưng ký hợp đồng lao động với doanh nghiệp thì có phải tham gia bhxh bắt buộc không","hưởng; trợ cấp; hàng tháng; tham gia; bhxh; bắt buộc"
f5d2dfab-7d60-4ce4-b1bc-0333bb6e85ee,"người lao động phải tham gia bhxh bắt buộc bao gồm những đối tượng nào","lao động; tham gia; bhxh; bắt buộc"
d42c2bba-c473-48a5-b80f-6fe8e3349ee8,"các đơn vị phải tham gia bhxh bắt buộc","đơn vị; tham gia; bhxh; bắt buộc"
1757f26f-1977-41d6-a702-c1c236fce8c8,"những đối tượng nào thì không phải đóng bhxh bắt buộc","đối tượng; không; đóng; bhxh; bắt buộc"
495c7539-3663-4383-87e0-4ca5ee947c24,"tôi đang làm việc tại công ty nhưng muốn xin tạm dừng đóng bhxh một thời gian có được không","tạm; dừng; đóng; bhxh; công ty"
8d8023de-c427-42f2-b560-09dd1b258e7f,"tôi ký hợp đồng làm việc bán thời gian có phải đóng bhxh không","hợp đồng; bán; thời gian; đóng; bhxh"
be9b2734-7520-42e3-badf-c153a892901a,"trong thời gian nghỉ thai sản tôi có phải đóng tiền bhxh hay không","nghỉ; thai sản; đóng; bhxh"
8917f6e4-7379-4856-8e01-ea4c238ae00e,"tôi đã nghỉ việc nhưng vẫn muốn tiếp tục tham gia bhxh ở công ty cũ có được không","lao động; nghỉ việc; tham gia; bhxh; công ty; cũ"
a2a6f41e-d7b3-4be5-9edc-f2074be4a204,"trường hợp người lao động xin không đóng bhxh bắt buộc có được không","lao động; không; đóng; bhxh; bắt buộc"
4b4bf21a-55b7-478f-8f3c-e8c1a635abaf,"giám đốc công ty có hưởng lương nhưng không đóng bhxh có được không","giám đốc; công ty; lương; đóng; bhxh"
b956ba74-e961-4850-a3d8-52738ce69250,"hợp đồng thử việc có phải đóng bhxh bắt buộc không","thử việc"
16f106f6-6faa-4b87-bca7-76f4106fd3ca,"doanh nghiệp có từ bao nhiêu lao động trở lên mới phải đóng bhxh","doanh nghiệp; lao động; đóng; bhxh"
90ea9c58-5abf-431c-bdd7-b29ff89933df,"người lao động ký nhiều hợp đồng lao động thì tham gia bhxh như thế nào","lao động; nhiều; hợp đồng; tham gia; bhxh"
57ddb2ec-ed04-43b8-bb25-ec3d99cb4e79,"cơ quan nhà nước có phải tham gia bhtn không","cơ quan; nhà nước"
63849bb4-ca74-4d28-800d-5c7b94d68cda,"đơn vị sự nghiệp công lập có phải tham gia bhtn không","đơn vị; sự nghiệp; công lập"
e9cb2224-b26d-4465-b143-d8ce0ccc959e,"đơn vị vũ trang nhân dân có phải tham gia bhtn không","đơn vị; vũ trang; nhân dân"
1653bd42-97ca-4766-9a9a-6f0332167003,"tổ chức chính trị có phải tham gia bhtn không","tổ chức; chính trị"
38d81cee-554e-4d41-a019-6de4859957cf,"tổ chức chính trị xã hội có phải tham gia bhtn không","tổ chức; chính trị; xã hội"
d5a3d9ee-c50f-4a61-b97d-269e0a2dc8b1,"tổ chức chính trị xã hội nghề nghiệp có phải tham gia bhtn không","tổ chức; chính trị; xã hội; nghề nghiệp"
48ca7c61-5ad6-4052-a339-c9220970cc57,"tổ chức xã hội có phải tham gia bhtn không","tổ chức; xã hội"
98f635c4-cb1a-4e0d-a18e-ae0a9a778bad,"tổ chức xã hội nghề nghiệp có phải tham gia bhtn không","tổ chức; xã hội; nghề nghiệp"
7296fc5a-6e2f-4a1a-aa6a-24d0f260d1d2,"cơ quan tổ chức nước ngoài tổ chức quốc tế hoạt động trên lãnh thổ việt nam có phải tham gia bhtn không","cơ quan; nước ngoài; việt nam"
45847544-e94d-41da-a712-4a2f42585d86,"doanh nghiệp có phải tham gia bhtn không","doanh nghiệp"
5e6e7fa2-5d44-426b-af4e-598338d8453e,"hợp tác xã có phải tham gia bhtn không","hợp tác xã"
fe11c7c8-8120-40e3-9f1b-7c1bda97bd9e,"hộ gia đình có phải tham gia bhtn không","hộ gia đình"
e582f221-b37e-4373-aece-b76901bbfea1,"hộ kinh doanh có phải tham gia bhtn không","hộ kinh doanh"
39d3d494-de8e-43f0-9970-3b588b321475,"tổ hợp tác có phải tham gia bhtn không","tổ hợp tác"
